Image|Logo|Name|Nickname|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description|
Gregor-VonHohenberg|Popravca|Gregor Von Hohenberg|Kat|None|The Weight of the Name|Human|Barbarian|Jazierchat|Kybad|48|Mŕtvy|Jäger|Lovec Skupina 645|Gregor Von Hohenberg, prezývaný Kat, patril k fakulte Popravcov a bol jedným z najúspešnejších členov svojho prekliateho rodu. Bol pra-prastarým otcom Luciusa a pra-pra-prastarým otcom Teodora Von Hohenberga, ktorý neskôr kráčal podobnou cestou. Zo všetkých Von Hohenbergov sa Gregor dostal najďalej v rodovom cieli, očistiť meno rodiny, a zároveň dosiahol najvyššie uznanie akadémie svojej doby. <br><br> Bol dostatočne nebezpečný, aby získal prezývku Kat, a dostatočne schopný, aby sa stal Jägerom. Napriek tomu mu spoločnosť nikdy úplne neodpustila jeho meno. Pre mnohých zostal len Von Hohenbergom, mužom z rodu s poškvrnenou povesťou, ktorý síce zabíja monštrá, ale vraj nepatrí medzi skutočnú elitu. <br><br> Jeho život sťažovalo aj to, že bol čistý barbar v období, keď sa na barbarov na akadémii nepozeralo s veľkou úctou. Kým iní videli silu ako niečo ušľachtilé, pri ňom ju často považovali za hrubosť. Gregor však nikdy neustupoval. Bolo to rodové dedičstvo aj jeho najväčšia slabina. <br><br> Ako jeden z mála mužov svojho rodu sa dožil narodenia vlastného vnúčaťa, no nikdy nedostal príležitosť sa s ním porozprávať. Aby Gregor získal meno a pevné postavenie aspoň pre svojho vnuka, rozhodol sa spraviť to najťažšie, vyrazil na lov sám. Chcel dokázať, že Von Hohenbergovia sú lepší, schopný a zaslúžia si rešpekt. Príšeru nakoniec aj zničil, no zaplatil za to všetkým. V boji sa rozbila aj rodová zbraň, meč Von Hohenbergov, ktorý zostal poškodený dodnes. Gregor po víťazstve nežil dlho. Bol sám, ďaleko, ťažko zranený a bez liečiteľa, ktorý by ho dokázal zachrániť. Zostal po ňom titul, prezývka Kat, rozbitý meč a otázka, či aj najlepší z Von Hohenbergov môže niekedy stačiť na očistenie mena rodu.|
Alaric Von Hohenberg|Krotiteľ|Alaric Von Hohenberg ||None|None|Human|Figher|empty|Odizan|33|Mŕtvy|Hed|Lovec Skupina 675|Alaric Von Hohenberg bol Krotiteľ, ktorý sa od mnohých členov svojho rodu líšil už na prvý pohľad. Bol šarmantný, komunikatívny a vedel hrať na lutnu tak dobre, že by sa za to nemusel hanbiť nejeden bard. Napriek tomu nebol umelec schovaný za ostatnými. Keď prišiel boj, Alaric stál v prvých líniách a kontroloval situáciu priamo odtiaľ. Ľudia ho mali radi ako Alarica. Horšie to bolo s menom Von Hohenberg. Nech bol akokoľvek schopný, príjemný alebo užitočný, rodová povesť kráčala vždy pred ním. Alaric tak celý život niesol zvláštny rozpor — ako človek bol obľúbený, ako dedič mena podozrivý. <br><br> Na akadémiu nastúpil spolu so svojím mladším bratom, práve v čase, keď sa narodil Lucius. Bratom sa istý čas darilo a zdalo sa, že by ich generácia mohla aspoň trochu zmeniť pohľad na rod. Potom však prišiel boj, v ktorom Ochranca nezvládol zachrániť ani seba samého. <br><br> Smrť mladšieho brata Alarica zlomila. Muž, ktorý dovtedy vedel boj ovládať, stratil rozvahu a vrhol sa dopredu bez premyslenia. Padol po boku svojho brata, nie ako chladný taktik, ale ako súrodenec, ktorý v tej chvíli nedokázal zostať stáť vzadu. <br><br> Po Alaricovi zostala spomienka na muža, ktorého ľudia chceli mať radi, aj keď sa báli jeho mena. Bol dôkazom, že aj medzi Von Hohenbergmi mohlo byť teplo, úsmev a hudba — len svet im málokedy dovolil prežiť dosť dlho, aby to niečo zmenilo. |
Otto Von Hohenber|Ochranca|Otto Von Hohenberg||None|None|Human|Figher|empty|Eirich|31|Mŕtvy|Hed|Lovec Skupina 675|Otto Von Hohenberg bol Ochranca, ktorý nikdy nemal vlastného potomka nesúceho jeho meno. Na akadémiu odišiel s vedomím, že rod už má nástupcu, a preto mohol svoj život vložiť do služby bez toho, aby sa stále obzeral späť. <br><br> Na rozdiel od ochrancov, ktorí stáli na liečení alebo svätej mágii, Otto chránil telom. Bol pevný, kontaktný a neústupný. Vedel vydržať údery, ktoré by iných zložili, a v boji mal zvláštny talent pritiahnuť všetku pozornosť na seba. Nepriatelia sa naňho vrhali, pretože im nedovolil ignorovať ho. <br><br> Práve táto schopnosť sa mu stala osudnou. V jednom boji sa dostal príliš dopredu, držal na sebe priveľa nepriateľov a monštier bolo viac, než tím očakával. Chyba v odhade ich Znalca zmenila boj na pascu, z ktorej Otto už nevyšiel. <br><br> Otto mal Luciusa rád, akoby bol jeho vlastný syn. Alaric bol Luciusovým otcom, no rodičovstvo si nestihol vychutnať, pretože obaja bratia padli, keď mal Lucius len dva či tri roky. Po Ottovi tak nezostalo meno odovzdané ďalšej generácii, ale zostala spomienka na muža, ktorý chránil tak tvrdo, až nakoniec nemal kto ochrániť jeho. |
Astrid-VonHohenber|Mesto|Astrid (rod. Veyl) Von Hohenberg||None|None|Human|empty|empty|Errasa|23|Živá|empty|Manželka|Astrid Von Hohenberg nepôsobí ako typický člen svojho rodu. Nie je lovkyňa v prvej línii ani mocná čarodejka. Pracuje ako pôrodná asistentka a pomáha v liečiteľskom dome s tým, čo treba spraviť rukami — čistiť rany, zašívať, obväzovať a riešiť bežné bolesti, pri ktorých nestačí len čakať na mágiu. <br><br> Mágia jej nikdy nešla správne. Kliatbu, slepotu ani vážnu chorobu nezlomí kúzlom, no vie byť pri človeku vtedy, keď je vystrašený, zahanbený alebo nevie, čo povedať. Astrid je zhovorčivá, milá a prirodzene dôverčivá osoba, ktorá dokáže aj s cudzincom nadviazať kontakt tak, aby zistila, čo ho naozaj trápi. <br><br> Prvé dieťa mala už v sedemnástich, a preto dobre chápe, aké je to byť odkázaný na pomoc druhých. Možno práve preto sa rozhodla byť tou, ktorá pomoc podá ďalej. Astrid Von Hohenberg nezachraňuje ľudí veľkými kúzlami, ale prítomnosťou, trpezlivosťou a rukami, ktoré vedia podržať, keď je to najviac treba. |
Seressa-Veyl|Remeslo|Seressa Veyl||None|None|Human|empty|empty|Odizan|27|Živá|empty|Shop Owner|Seressa Veyl je majiteľka exkluzívneho obchodu ´Mokrý sen', podniku so šteklivým tovarom pre odvážnych dospelých. Obchod zdedila, no nezostala len pri tom, čo fungovalo pred ňou. Posunula ho na vyššiu úroveň, rozšírila ponuku a z miesta pre zvedavcov vytvorila podnik, kam si cestu nachádza aj šľachta hľadajúca extravagantnejšie potešenie. Aj keď pravidlá má prísne a najväčšie je, po uzávierke, žiadny zákazníci! <br><br> Seressa má množstvo známych, hoci väčšina z nich sa k návštevám jej obchodu na verejnosti neprizná. Ona to veľmi dobre chápe a práve diskrétnosť je jedným z dôvodov, prečo jej ľudia dôverujú. Vie mlčať, poradiť a zariadiť veci tak, aby sa zákazník cítil bezpečne, vypočutý a neodsúdený. <br><br> Hoci širšia verejnosť sa na podobný obchod stále pozerá cez prsty, 'Mokrý sen' si získal zvláštny rešpekt. Nie pre okázalosť, ale pre kvalitu, diskrétnosť a Seressinu úprimnú ochotu pomôcť každému nájsť presne taký zážitok, pre ktorý sa odvážil vojsť dnu. |empty
Kiera-Lulaba|Remeslo|Kiera Lulaba||None|None|Gnome|???|Jazierchat|Hozrir  |???|Živá|empty|Predajca Drobných Magických Predmetov|Kiera Lulaba je gnómka, predajkyňa a tvorkyňa malých magických predmetov, pri ktorých sa často ukáže, že veľkosť nemá nič spoločné s účinkom. Je známa precíznosťou, trpezlivosťou a neustálou snahou zlepšiť aj veci, ktoré už podľa iných fungujú dosť dobre. <br><br> Venuje sa najmä výrobe okuliarov, šperkov a drobných magických pomôcok, ktoré sa zmestia do vrecka, no v správnej chvíli dokážu spôsobiť divy. Trochu sa vyzná aj v elixíroch, hoci tie nie sú jej hlavnou vášňou. Ak nestojí pri pulte, pravdepodobne je pod ním, rozoberá nejaký predmet, nastavuje súčiastku alebo skúša, či by sa z neho nedalo dostať ešte o trochu viac. <br><br> Jej najvzácnejším kúskom sú okuliare, ktoré sama nosí. Ukazujú mágiu na mimoriadne citlivej úrovni a v rukách šikovného pozorovateľa dokážu odhaliť aj tvory či stopy, ktoré mágia skrýva pred bežným okom. Kiera Lulaba je dôkazom, že aj najmenší predmet môže byť zázrak — ak ho vyrobí dosť šikovná gnómka. |
Dribly-Kolarik|Remeslo|Dribly Kolarik||None|None|Human/Gnome|???|Jazierchat|Geles|???|Živý|Gentleman|Predajca Magických Predmetov|Dribly Kolarik je majiteľ a predajca vychýreného obchodu s magickými predmetmi v Jazierchate. Jeho podnik stojí neďaleko brán akadémie, zhruba na polceste k teleportačnej centrále, takže sa pri ňom zastavujú študenti, lovci, učenci aj ľudia, ktorí tvrdia, že „sa len pozerajú“. <br><br> Dribly má, čo bytosť potrebuje, a často aj to, čo ešte netuší, že chce. Ak niečo práve nemá na sklade, vie to zohnať — cez kontakty, dlhy, dohody alebo zvláštne cesty, na ktoré je lepšie sa príliš nepýtať. Je obchodníkom telom, srdcom aj dušou. <br><br> Jeho ceny sú vraj fixné. Dribly to povie s úsmevom, ktorý naznačuje, že fixné neznamená nepohnuteľné. Vo svete mágie sa totiž dá pohnúť takmer všetkým — niekedy slovom, niekedy protislužbou a niekedy predmetom, ktorý má hodnotu až v správnych rukách. Niekedy je to len týmm aký ste človek. Lebo práve človek tu nakúpi najlepšie.|
Rebeka-Kajna_Vamp|None|Rebeka Kajna||Len pár kvapiek… Na chuť a sladkú noc.|None|Elf|Vampire|Juhiera|???|???|Živá|Žiloknieža|empty|Tento upír zaútočil na Page Meadow neskoro večer v archíve. Valiana vysvetlila bole ale na blízku a záchránila Page živo. Rebaka je totiž stará mama Valiana a aktuálne je lovená Vladislavom, ktorý rýchlo page prezrel a úpíra ďalej následoval do temných uličiek archívu.  |
Gabriel-Marinovič||Gabriel Marinovič||None|None|Human|Barbarian|Tmavohmla|||Mŕtvy (???)||None|Gabriel Marinovič je považovaný za prvého lovca upírov, muža, ktorý ich odhalil v časoch, keď väčšina sveta ani netušila, že také bytosti existujú. Žil tak dávno, že jeho príbeh už patrí skôr medzi legendy než isté dejiny. Jedna verzia hovorí, že lovil z pomsty za manželku, iná za matku či dcéru. Ďalšia tvrdí, že ho upír chcel zmeniť, alebo že upírom bol jeho vlastný brat a toho musel zabiť ako prvého. Pravda sa stratila medzi rozprávaniami. <br><br> Isté je len to, že Gabriel z neznámeho dôvodu odhalil existenciu upírov a začal ich loviť. Až po jeho činoch sa začalo chápať, že upíri nie sú všetci rovnakí. Vysokí upíri začali vystupovať s titulmi a mocou. Sám Sepet sa ukázal nie ako nesmrteľný kráľ požehnaný nebom, ale ako upír, ktorý mal vlastný záujem udržať krajinu pokope. <br> Po Gabrielovi zostal rod Marinovič, línia lovcov nižších upírov, tvrdohlavých prenasledovateľov temných katakomb a občas aj bláznov, ktorí sa pokúsili uloviť alebo skrotiť vyšších upírov. Mnohí z nich zmizli na love, v ruinách alebo pod mestami, no rod bol príliš neústupný na to, aby vyhasol. Vždy sa niekde objavil ďalší lovec, ďalší Marinovič, ktorý držal nižších upírov na uzde. |
Bram-Marinovič|Žold, Wanted|Bram Marinovič||None|None|Human|Rogue|Pieskostan|||Mŕtvy (183)||None|Bram Marinovič bol pre svet rovnako prínosom ako príťažou. Keď lovil upírov, jeho znalosti boli tak presné a cenné, že ho vyhľadávali aj tí, ktorí ním opovrhovali. Keď ich nelovil, brázdil moria, vykrádal čo sa dalo a zanechával za sebou viac problémov než riešení. <br><br> Bol expertom na upírov, no zároveň mužom hľadaným pre svoje vlastné prečiny. Jeho povesť bola zvláštne pútavá, báli sa ho živí pre jeho odvahu, drzosť a zločiny, a mŕtvi pre jeho schopnosť nájsť ich aj tam, kde sa cítili bezpečne. <br><br> Bram nakoniec zmizol na mori spolu so svojou obávanou loďou. Nikto nevie, či ho pohltila búrka, upíri, kliatba alebo vlastná legenda. Lebo zhorený vraj nevypovedal žiadny príbeh, len vydal zničené telá a poklad, ktorý prežil to čo sa skutočne stalo. |
Abraham-Marinovič|Žold, Mudrc|Abraham Marinovič||None|None|Human|Artificier|Granulia|||Mŕtvy (487)|Gróf|None|Abraham Marinovič bol možno najčestnejší muž svojho rodu. Nelovil upírov tak priamo ako tí pred ním, no ich hrozbu bral rovnako vážne. Namiesto slepého prenasledovania sa sústredil na vedu, výskum a praktické poznanie. Dal svetu niekoľko elixírov, drobných vynálezov a hlavne presnejší pohľad na to, čo sa dá z tela padlého upíra využiť. <br><br> Práve Abraham podrobnejšie popísal, ako upírov spoľahlivo ničiť. Drevo do srdca funguje, a čím hrubšie, tým lepšie. Hlavu odrezná ostane bez pohybu ale keď sa vráti k telu ožije. Zároveň opravil mnohé povery. Slnko upíra spáli, ale nie okamžite. Upír dokáže prebehnúť cez ulicu aj počas dňa, no určite si nesadne na lavičku a nebude si užívať popoludnie. Cesnak je účinný keď je upír hladný a slabý, keď sa napije, zelenina ho nezastaví ale môže ho odradiť pre tú pachuť a zápach. <br><br> Bol skôr učiteľom než lovcom a zdalo sa, že chce nasledovať príklad Kalsorov, zbierať skúsenosti a odovzdávať ich ďalším. K záchrane rodu a tvorbe potomstva sa vraj veľmi nemal, čo však neznamená, že dámy oňho nemali záujem. Museli mať, pretože aj po výbuchu jeho laboratória rod Marinovičovcov prežil. |
Raizon_Elinurian|Žold|Raizon Elinurian||None|None|Human|Fighter/Wizard|Tmavohmla|Zurro|empty|Mŕtvy|Knight|empty|Raizon Elinurian nebol prvý lovec démonov ani posledný, no bol tým, ktorý zmenil spôsob, akým sa proti nim bojuje. Keď démon Akriel zneuctil jeho rodinu, uniesol jeho manželku a Raizon ho nakoniec zabil, zdalo sa, že pomsta bola dokonaná. Lenže démon sa vrátil. Vtedy Raizon pochopil, že démonov nestačí zabiť. <br><br> Keďže žiaden živí nedokázal démonov zničiť natrvalo, Raizon si zvolil inú cestu, väzenie. Bol bojovník, no kvôli tomuto cieľu začal študovať mágiu a zistil, akú obrovskú výhodu mu dáva. Vytvoril démonickú väznicu, zaplatil za ňu draho a Akriela do nej uzavrel ako prvého. <br><br> Po Raizonovi prevzali jeho odkaz jeho deti: vlastný ľudský syn a nevlastná dcéra, dieťa Akriela. Spolu položili základ rodu, ktorý je dnes známy lovom a väznením démonov. Mágia sa stala ich hlavnou zbraňou a krv človeka aj démona ich prekliatym darom a silou, ktorú nosia preto, aby démoni už neutekali späť do sveta živých. |
Azor-Elinuran|Žold|Azor Elinuran||None|None|Tiefling|Wizard|Tmavohmla|Drercur|47|Živý|Vikomt|Noble of Tmavohmla|Azor Elinuran pôvodne túžil študovať na akadémii ako lovec príšer a plánoval sa stať Znalcom. Jeho cesta sa však zmenila, keď spoznal Karlitu z rodu Elinuran. Čím viac sa dozvedal o nej, jej rodine a ich boji proti démonom, tým viac ho tento odkaz priťahoval. <br><br> Nakoniec sa vzdal pôvodného sna a prijal meno svojej ženy aj bremeno jej rodu. Namiesto lovca príšer sa stal lovcom a väzniteľom démonov. S mágiou v knihe, srdcom v ohnivej vášni a ženou, ktorá sa démonov nebála, vstúpil na cestu, ktorá bola nebezpečnejšia, než pôvodne plánoval. <br><br> Spolu s Karlitou neskôr priviedli na svet potomkov a veľmi rýchlo ich začali učiť rodinnému remeslu. Azor Elinuran je dôkazom, že nie každý sa narodí do svojho odkazu, niektorí si ho vyberú, z lásky, odvahy a ochoty niesť cudzie meno ako vlastné. |
Karlita-Elinuranova|Žold|Karlita Elinuranova||None|None|Tiefling|Wizard/Fighter|Tmavohmla|Liorha|44|Živá|Vikomtka|Noble of Tmavohmla|Karlita Elinuranová od malička vedela, že ju čaká tvrdý osud, hoci mu ešte nerozumela. Trénovali ju skôr, než sa naučila poriadne vystupovať. Príbehy, piesne aj hračky mali svoj účel. Všetko ju malo pripraviť na rodové remeslo, lov a väznenie démonov. <br><br> Učila sa mágiu, knihy, spisy a kúzla, a keď jej toho bolo priveľa, zodvihla meč a štít. Karlita nikdy neverila len mágii, no vedela, že práve mágia je základ. Meč bez mágie je dekorácia. Mágia bez meča je problém. Ale mágia s mečom je dôvod, prečo démoni začínajú plakať, aspoň kým im to telo ešte dovolí. Vo väznici, kam ich Karlita posiela, už veľa priestoru na slzy nezostáva. <br><br> Na bremeno svojho rodu však nezostala sama. Tak ako ženy rodu v minulosti, aj ona našla muža ochotného prijať meno, krv aj titul Elinuranovcov. S Azorom sa stali pár a dnes učia svoje deti rovnakému remeslu, akým kedysi Karlitini rodičia učili ju, tvrdo, skoro a s vedomím, že démoni nikdy nečakajú, kým bytosť dospeje. |
Aztrid-Elinuranova|Žold|Aztrid Elinuranova||None|None|Tiefling|Wizard|Tmavohmla|Hellia|15|Živá||Dedička|Aztrid Elinuranová je najmladšia z rodu a medzi Elinuranovcami pôsobí takmer nezvyčajne čisto. Je pokojná, vyrovnaná a menej poznačená tvrdosťou rodového bremena než jej starší súrodenci. Keďže jej brat od začiatku prejavoval veľký talent, na Aztrid nebol vyvíjaný taký silný tlak, a preto mala priestor vyrastať aj mimo nekonečného tréningu lovcov démonov. <br><br> To však neznamená, že by sa svojmu odkazu vyhýbala. Aztrid sa tréningu venuje poctivo a s tichou odhodlanosťou, pretože vie, čo sa môže stať tým, ktorí nie sú pripravení. Neženie ju pýcha ani túžba po sláve, ale strach, aby neskončila ako jej najstarší brat.|
Murez-Elinuran|Žold|Murez Elinuran||None|None|Tiefling|Wizard|Tmavohmla|Thelvus|16|Živý||Dedič|Murez Elinuran je veľký talent rodu, ktorému mágia ide tak prirodzene ako rast rohov. Nemusí sa dlho sústrediť, hľadať správny pocit ani zápasiť s vlastnou krvou. Jednoducho sa to deje, pozrie do knihy a mágia letí. Tam, kde jeho starší brat nedokázal mágiou zapáliť ani sviecu, Murez zapaľuje vatry. <br><br> Pre rod Elinuranovcov je to dar aj úľava. Starší brat bol v rodovom remesle považovaný za sklamanie a práve nedostatok talentu ho napokon stál život. Murez preto nenesie len vlastné ambície, ale aj očakávania všetkých, ktorí v ňom vidia nápravu tejto straty. <br><br> Rod doňho vkladá veľké nádeje a Murez ten tlak cíti každý deň. Namiesto toho, aby ho spomalil, tlačí ho dopredu ešte rýchlejšie. Je mladý, nadaný a nebezpečne prirodzený v mágii, presne taký Elinuran, akého démoni nechcú vidieť dospieť. |
Thadesus-Elinuran_Blue|Žold|Thadesus Elinuran||None|None|Tiefling|Wizard|Tmavohmla|Thelvus|22|Mŕtvy||Cintorín|Thadesus Elinuran bol prvý syn Karlity a Azora, dieťa, do ktorého rod vložil obrovské nádeje. Keď sa narodil, ešte žil aj Karlitin otec, no len pár dní po jeho narodení zomrel. Spolu s ním začala pomaly zomierať aj predstava, že Thadesus bude veľkým pokračovateľom rodu. Mágia mu nešla. Runy nečítal skôr než písmená, prvé slová neboli zaklínadlá a plameň v krvi sa nechcel prebudiť. <br><br> Rodičia doňho dlho vkladali čas, no keď mal päť rokov, pochopili, že z neho nebude talent, aký rod potreboval. Zo strachu, že ani ďalšie dieťa nebude dosť silné, začali hľadať nádej všade, učili Thadesusa, pacholka Rodericka, kováča, slúžku aj miestneho umelca. Každý, kto mal rohy a čo i len vzdialenú krv Hádesu v žilách, dostal v tom období šancu. To všetko sa skončilo, keď mladý Murez prejavil skutočný talent. <br><br> Od tej chvíle sa rodina obrátila k Murezovi a ostatní si mohli ísť po svojom. Thadesus sa však s vlastným zlyhaním nikdy nezmieril. V snahe vykúpiť sa vydal na skúšku lovca, no už sa nevrátil živý. Plameň, ktorý ho mal ochrániť a dokázať jeho miesto v rode, sa obrátil proti nemu. Namiesto osláv prišiel pohreb a Thadesus zostal v pamäti Elinuranovcov ako syn, ktorý sa zlyhal najviac vtedy keď už od neho nikto ani nič nečakal.|
